family,display_name,n_originals,n_seeds_ok,n_train_human,n_train_bot_mean,n_heldout_orig,n_heldout_aug,sanity_accuracy_mean,sanity_accuracy_std,sanity_detection_rate_mean,sanity_detection_rate_std,sanity_human_pass_through_mean,sanity_human_pass_through_std,heldout_detection_rate_mean,heldout_detection_rate_std,heldout_aug_detection_rate_mean,heldout_aug_detection_rate_std
erratic,Erratic,38,5,143,1330.0,38,78,0.9934065934065934,0.006407639444884957,0.9933884297520661,0.009637937016273234,0.9934426229508198,0.013114754098360671,0.9947368421052631,0.010526315789473672,0.9487179487179487,0.0
linear,Linear,40,5,143,1305.0,40,102,0.9933701657458563,0.005413237000625794,0.9916666666666668,0.009128709291752777,0.9967213114754099,0.006557377049180336,1.0,0.0,1.0,0.0
llm,LLM,55,5,143,1258.0,55,138,0.9966101694915255,0.004519774011299432,0.9982758620689655,0.0034482758620689503,0.9934426229508198,0.013114754098360671,0.8036363636363637,0.08712108036880682,0.9884057971014493,0.01690130984013129
scripted,Scripted,40,5,143,1311.0,40,96,0.9955801104972377,0.004134428051683903,0.9949999999999999,0.004082482904638616,0.9967213114754099,0.006557377049180336,1.0,0.0,1.0,0.0
semi_auto,Semi-Auto,60,5,143,1225.0,60,168,0.9988571428571429,0.0022857142857142685,1.0,0.0,0.9967213114754099,0.006557377049180336,0.9333333333333333,0.0,1.0,0.0
slow,Slow,40,5,143,1263.0,40,144,0.9977900552486189,0.002706618500312897,0.9983333333333334,0.003333333333333322,0.9967213114754099,0.006557377049180336,1.0,0.0,1.0,0.0
speedrun,Speedrun,46,5,142,1277.0,46,126,0.9955555555555555,0.004157397096415476,0.9949152542372882,0.006779661016949135,0.9967741935483871,0.0064516129032258,1.0,0.0,1.0,0.0
stealth,Stealth,40,5,143,1293.0,40,114,0.9933701657458563,0.006443040767784846,0.9916666666666668,0.007453559924999322,0.9967213114754099,0.006557377049180336,1.0,0.0,1.0,0.0
tabber,Tabber,40,5,143,1299.0,40,108,0.9933701657458563,0.0022099447513812096,0.9949999999999999,0.006666666666666682,0.9901639344262296,0.008031113910764527,1.0,0.0,1.0,0.0
trace_conditioned,Trace-Conditioned,40,5,143,1353.0,40,54,0.9955801104972375,0.004134428051683903,0.9949999999999999,0.006666666666666682,0.9967213114754099,0.006557377049180336,1.0,0.0,1.0,0.0
