family,display_name,n_originals,n_seeds_ok,n_train_human,n_train_bot_mean,n_heldout_orig,n_heldout_aug,sanity_accuracy_mean,sanity_accuracy_std,sanity_detection_rate_mean,sanity_detection_rate_std,sanity_human_pass_through_mean,sanity_human_pass_through_std,heldout_detection_rate_mean,heldout_detection_rate_std,heldout_aug_detection_rate_mean,heldout_aug_detection_rate_std
erratic,Erratic,38,5,143,280.0,38,0,0.9967032967032967,0.00439560439560438,0.9983471074380166,0.0033057851239669312,0.9934426229508198,0.008031113910764527,0.9789473684210528,0.010526315789473674,nan,nan
linear,Linear,40,5,143,279.0,40,0,0.994475138121547,0.0034942294587495815,0.9966666666666667,0.004082482904638616,0.9901639344262294,0.013114754098360671,1.0,0.0,nan,nan
llm,LLM,55,5,143,268.0,55,0,0.9943502824858758,0.0035731950962354588,0.9948275862068965,0.004223258177212357,0.9934426229508198,0.013114754098360671,0.8545454545454547,0.03449757447456412,nan,nan
scripted,Scripted,40,5,143,279.0,40,0,0.9933701657458563,0.008119855500938734,0.9949999999999999,0.006666666666666682,0.9901639344262294,0.013114754098360671,1.0,0.0,nan,nan
semi_auto,Semi-Auto,60,5,143,265.0,60,0,0.9942857142857143,0.007228063223242009,0.9982456140350877,0.0035087719298245723,0.9868852459016393,0.016062227821529055,0.95,0.021081851067789172,nan,nan
slow,Slow,40,5,143,279.0,40,0,0.994475138121547,0.006052182955858173,0.9983333333333334,0.003333333333333322,0.9868852459016393,0.012267729136963754,1.0,0.0,nan,nan
speedrun,Speedrun,46,5,142,275.0,46,0,0.9977777777777778,0.004444444444444429,1.0,0.0,0.9935483870967742,0.0129032258064516,1.0,0.0,nan,nan
stealth,Stealth,40,5,143,279.0,40,0,0.9911602209944752,0.005634275705627372,0.9933333333333334,0.0033333333333333214,0.9868852459016393,0.012267729136963754,1.0,0.0,nan,nan
tabber,Tabber,40,5,143,279.0,40,0,0.9933701657458563,0.004134428051683903,0.9949999999999999,0.006666666666666682,0.9901639344262294,0.013114754098360671,1.0,0.0,nan,nan
trace_conditioned,Trace-Conditioned,40,5,143,279.0,40,0,0.994475138121547,0.0034942294587495815,0.9949999999999999,0.004082482904638616,0.9934426229508198,0.008031113910764527,1.0,0.0,nan,nan
