model,model_dir,family,display_name,n,detection_rate,mean_human_score,overall_detect_rate,overall_human_pass_through
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,erratic,Erratic,14,1.0,0.0025839651934802532,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,linear,Linear,14,1.0,0.006925348192453384,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,llm,LLM,18,1.0,0.01439092680811882,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,scripted,Scripted,11,1.0,0.004530097357928753,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,semi_auto,Semi-Auto,10,1.0,0.011404246091842651,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,slow,Slow,15,1.0,0.002528230892494321,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,speedrun,Speedrun,15,1.0,0.006503981072455645,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,stealth,Stealth,12,1.0,0.0023924054112285376,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,tabber,Tabber,12,1.0,0.0025033382698893547,1.0,1.0
xgb_v1 (tuned+aug),src/classifier/models/xgb_v1,trace_conditioned,Trace-Conditioned,11,1.0,0.00947216060012579,1.0,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,erratic,Erratic,14,1.0,0.0007344515179283917,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,linear,Linear,14,1.0,0.0021271593868732452,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,llm,LLM,18,0.9444444444444444,0.04671658203005791,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,scripted,Scripted,11,1.0,0.0024169369135051966,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,semi_auto,Semi-Auto,10,1.0,0.007380473427474499,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,slow,Slow,15,1.0,0.000522585294675082,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,speedrun,Speedrun,15,1.0,0.004689811263233423,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,stealth,Stealth,12,1.0,0.0014827749691903591,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,tabber,Tabber,12,1.0,0.001993803773075342,0.9924242424242424,1.0
"xgb_v1_noaug (tuned, no aug)",src/classifier/models/xgb_v1_noaug,trace_conditioned,Trace-Conditioned,11,1.0,0.0025165847036987543,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,erratic,Erratic,14,1.0,0.0006108406814746559,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,linear,Linear,14,1.0,0.00112154521048069,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,llm,LLM,18,0.9444444444444444,0.035809919238090515,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,scripted,Scripted,11,1.0,0.0014472183538600802,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,semi_auto,Semi-Auto,10,1.0,0.007121365517377853,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,slow,Slow,15,1.0,0.0003735510108526796,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,speedrun,Speedrun,15,1.0,0.006073963828384876,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,stealth,Stealth,12,1.0,0.0002943532890640199,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,tabber,Tabber,12,1.0,0.0006311911274679005,0.9924242424242424,1.0
xgb_v2 (default+aug),src/classifier/models/xgb_v2,trace_conditioned,Trace-Conditioned,11,1.0,0.0021627084352076054,0.9924242424242424,1.0
"xgb_v2_noaug (default, no aug)",src/classifier/models/xgb_v2_noaug,erratic,Erratic,14,1.0,0.000852018769364804,1.0,1.0
"xgb_v2_noaug (default, no aug)",src/classifier/models/xgb_v2_noaug,linear,Linear,14,1.0,0.0016860634787008166,1.0,1.0
"xgb_v2_noaug (default, no aug)",src/classifier/models/xgb_v2_noaug,llm,LLM,18,1.0,0.008657127618789673,1.0,1.0
"xgb_v2_noaug (default, no aug)",src/classifier/models/xgb_v2_noaug,scripted,Scripted,11,1.0,0.0013791732490062714,1.0,1.0
"xgb_v2_noaug (default, no aug)",src/classifier/models/xgb_v2_noaug,semi_auto,Semi-Auto,10,1.0,0.00562178622931242,1.0,1.0
"xgb_v2_noaug (default, no aug)",src/classifier/models/xgb_v2_noaug,slow,Slow,15,1.0,0.000509871169924736,1.0,1.0
